model,layer,probe,dataset_name,data_config,task,acc,class_accs,class_names
CLIP,layer_12,linear,RAVEN,in_center_single_out_center_single,Type_0,0.833,"[0.9326, 0.7549, 0.816]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_12,linear,RAVEN,in_center_single_out_center_single,Size_0,0.497,"[0.5756, 0.0071, 0.6811]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_12,linear,RAVEN,in_center_single_out_center_single,Color_1,0.4675,"[0.3467, 0.6248, 0.5873, 0.3027]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_12,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_12,MLP,RAVEN,center_single,Color,0.744,"[0.7909, 0.563, 0.7464, 0.865]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_12,MLP,RAVEN,center_single,Type,0.927,"[0.9628, 0.8889, 0.9285]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_12,MLP,RAVEN,center_single,Size,0.623,"[0.5632, 0.7816, 0.679, 0.4588]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_12,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.452,"[0.4826, 0.3152, 0.7031, 0.3423]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_12,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.6495,"[0.6808, 0.7763, 0.4901]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_12,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.8995,"[0.9091, 0.944, 0.8488]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_12,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.5605,"[0.6096, 0.0592, 0.7806]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_12,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.504,"[0.4589, 0.3943, 0.731, 0.4417]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
